year,month,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2021,1,pa,US,"420293081022",102,75
2021,1,pa,US,"420454038002",186,106
2021,1,pa,US,"420770022013",56,54
2021,1,pa,US,"420792137001",87,87
2021,1,pa,US,"420893003052",81,63
2021,1,pa,US,"420912052003",29,28
2021,1,pa,US,"420912058011",295,338
2021,1,pa,US,"420912060043",55,50
2021,1,pa,US,"420912061052",407,328
2021,1,pa,US,"420912088021",59,71
2021,1,pa,US,"421010036001",120,89
2021,1,pa,US,"421010093003",31,33
2021,1,pa,US,"421010276003",34,26
2021,1,pa,US,"421179506003",95,73
2021,1,pa,US,"420010311021",324,206
2021,1,pa,US,"420034741021",96,118
2021,1,pa,US,"420059517003",55,54
2021,1,pa,US,"420490117025",31,23
2021,1,pa,US,"420550120003",44,25
2021,1,pa,US,"420792159003",37,28
2021,1,pa,US,"421010101006",39,31
2021,1,pa,US,"421330212104",141,123
2021,1,pa,US,"420171004012",92,69
2021,1,pa,US,"420893002021",85,62
2021,1,pa,US,"420912072011",29,30
2021,1,pa,US,"420912102002",63,37
2021,1,pa,US,"421298078001",92,67
2021,1,pa,US,"420031306001",13,13
2021,1,pa,US,"420034753032",65,61
2021,1,pa,US,"420076032023",134,85
2021,1,pa,US,"420293001062",49,38
2021,1,pa,US,"420770056014",105,75
2021,1,pa,US,"420792121002",34,29
2021,1,pa,US,"420850327012",53,39
2021,1,pa,US,"420893001021",66,48
2021,1,pa,US,"420912006023",85,54
2021,1,pa,US,"420912016074",34,21
2021,1,pa,US,"421010291002",42,31
2021,1,pa,US,"421257545001",25,18
2021,1,pa,US,"421298044002",108,66
2021,1,pa,US,"420159512001",59,46
2021,1,pa,US,"420293005012",181,149
2021,1,pa,US,"420479512001",635,808
2021,1,pa,US,"420490101031",75,43
2021,1,pa,US,"420550110003",166,129
2021,1,pa,US,"420770022014",33,28
2021,1,pa,US,"420770066002",38,55
2021,1,pa,US,"420950111001",49,43
2021,1,pa,US,"420970801003",47,30
2021,1,pa,US,"421010070004",32,24
2021,1,pa,US,"421010112005",26,23
2021,1,pa,US,"421010273005",45,34
2021,1,pa,US,"421010331023",24,20
2021,1,pa,US,"421110215003",53,42
2021,1,pa,US,"420599701003",49,43
2021,1,pa,US,"420750002003",51,41
2021,1,pa,US,"421010300003",62,47
2021,1,pa,US,"420034751013",57,54
2021,1,pa,US,"420110119022",64,56
2021,1,pa,US,"420159501002",26,24
2021,1,pa,US,"420171002072",280,167
